Feature,Contribution
판매처_아이옥션,0.10823058
판매처_에이옥션,0.08110907
판매처_마이아트옥션,0.009342176
Image_Feature1,0.0074522933
판매처_서울옥션,0.0071683056
Image_Feature2,0.007086145
Image_Feature3,0.0068378574
Image_Feature4,0.006722298
판매처_꼬모옥션,0.0067106658
Image_Feature5,0.006206093
재료_석판화,0.0061559146
Image_Feature6,0.0060541118
재료_캔버스에아크릴,0.005848782
가로,0.005708149
재료_실크스크린,0.0053313524
판매처_헤럴드아트데이,0.005279262
재료_오프셋석판화,0.005238902
Image_Feature7,0.0052384087
재료_알수없음,0.0051464094
Image_Feature8,0.00493517
판매처_케이옥션,0.004850039
Image_Feature9,0.0046770712
Image_Feature10,0.0044486774
재료_종이에먹,0.004113498
재료_지본묵서,0.0038286229
재료_캔버스에유채,0.0033183394
S,0.0033026366
V,0.0032343098
재료_종이에수묵,0.0031412244
H,0.003028507
작가생존여부_알수없음,0.003000473
판매처_칸옥션,0.0029442434
B,0.0028994596
재료_종이에수묵담채,0.0028856897
재료_종이에수채,0.0028724598
재료_비단에수묵담채,0.002704512
재료_종이에유채,0.0025275163
재료_기타,0.0024692332
G,0.0022268153
재료_종에이수묵담채,0.002225846
판매계절_가을,0.0022075532
판매계절_겨울,0.002071656
작가생존여부_생존,0.00206538
R,0.0019307713
재료_종이에수묵채색,0.0018875889
재료_지본수묵,0.0018452852
재료_지본채색,0.0018424179
판매계절_여름,0.0018333184
재료_견본채색,0.0017598906
작가생존여부_사망,0.0017011503
재료_브론즈,0.0015018712
재료_캔버스에혼합재료,0.0010191428
작품 판매 횟수,0.000855501
판매계절_봄,0.00036869626
세로,0.0
